                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.91957,                0.55334,                0.90924,                0.82202,                0.78637,                0.82447,                0.56289,                 1.0728,                0.65586,                0.98744,              0.0010098,              0.0010098,              0.0010098
                     48,                0.92684,                0.55886,                0.90954,                0.91002,                 0.7964,                0.84211,                0.57563,                 1.0717,                0.67878,                 0.9943,              0.0010076,              0.0010076,              0.0010076
                     49,                0.91791,                0.55322,                0.91289,                0.83952,                0.80282,                0.83735,                0.56576,                 1.0595,                0.67002,                0.98647,              0.0010054,              0.0010054,              0.0010054
                     50,                0.90798,                0.54962,                0.91128,                0.82059,                0.80236,                0.81893,                0.54608,                 1.0682,                0.68069,                0.99518,              0.0010032,              0.0010032,              0.0010032
                     51,                0.90202,                0.54459,                0.90543,                0.86288,                0.79468,                0.85029,                 0.5603,                 1.0547,                0.64049,                0.98113,               0.001001,               0.001001,               0.001001
                     52,                0.90574,                0.54266,                0.90929,                0.85848,                0.80492,                0.83862,                0.57966,                 1.0507,                0.64216,                0.98782,             0.00099881,             0.00099881,             0.00099881
                     53,                0.89193,                 0.5444,                0.90847,                0.84223,                0.79528,                0.81735,                0.54951,                 1.0585,                0.65834,                 1.0007,             0.00099661,             0.00099661,             0.00099661
                     54,                0.90284,                0.54333,                0.90929,                0.84084,                0.78304,                0.81934,                0.57054,                 1.0485,                 0.6418,                0.98621,             0.00099441,             0.00099441,             0.00099441
                     55,                0.90637,                0.54637,                0.90849,                0.84203,                0.80718,                0.83963,                0.55375,                 1.0538,                0.66805,                0.98958,             0.00099221,             0.00099221,             0.00099221
                     56,                0.89917,                0.54524,                0.90701,                0.84145,                0.78882,                 0.8221,                0.56705,                 1.0341,                0.66395,                 0.9759,             0.00099001,             0.00099001,             0.00099001
                     57,                0.89448,                0.53801,                0.90398,                0.84871,                0.79622,                 0.8409,                0.57037,                 1.0424,                0.65192,                0.98245,             0.00098781,             0.00098781,             0.00098781
                     58,                0.86464,                 0.5292,                0.89424,                 0.8336,                0.80274,                0.82985,                0.57437,                 1.0503,                0.66113,                0.99088,             0.00098561,             0.00098561,             0.00098561
                     59,                0.86587,                0.51474,                0.89707,                0.86214,                0.79125,                0.82069,                0.55567,                 1.0525,                0.66735,                0.98911,             0.00098341,             0.00098341,             0.00098341
                     60,                0.87491,                0.52783,                0.90152,                0.82081,                0.79798,                0.81396,                0.54576,                 1.0795,                0.66265,                0.99301,             0.00098121,             0.00098121,             0.00098121
                     61,                0.88889,                0.52805,                0.89961,                0.83198,                0.81779,                0.84378,                0.58203,                 1.0509,                0.66531,                0.99204,             0.00097901,             0.00097901,             0.00097901
                     62,                0.87437,                0.52065,                0.90422,                0.86683,                0.78046,                  0.829,                0.57231,                 1.0433,                0.65042,                0.99254,             0.00097681,             0.00097681,             0.00097681
                     63,                0.87647,                 0.5278,                0.90476,                0.82704,                 0.8222,                0.83919,                0.57704,                  1.048,                0.65236,                0.98432,             0.00097461,             0.00097461,             0.00097461
                     64,                0.85536,                0.51916,                0.89601,                 0.8364,                0.80124,                0.82223,                0.58018,                  1.036,                0.63953,                0.97715,             0.00097241,             0.00097241,             0.00097241
                     65,                0.83705,                 0.5057,                 0.8863,                0.82781,                0.80815,                0.82566,                0.56163,                  1.036,                0.64364,                0.97514,             0.00097021,             0.00097021,             0.00097021
                     66,                0.84726,                0.51401,                0.89494,                 0.8361,                0.81881,                0.82126,                  0.562,                 1.0268,                0.66301,                0.98245,             0.00096801,             0.00096801,             0.00096801
                     67,                0.85676,                0.52031,                0.89788,                0.82514,                0.81976,                0.84313,                0.58706,                 1.0088,                0.62435,                0.97297,             0.00096581,             0.00096581,             0.00096581
                     68,                0.86128,                0.51472,                0.89566,                0.81939,                  0.801,                0.81928,                0.58182,                 1.0092,                0.62897,                0.98071,             0.00096361,             0.00096361,             0.00096361
                     69,                0.85784,                0.51185,                0.89417,                 0.8435,                0.80831,                0.84025,                0.58077,                 1.0151,                0.61407,                0.96753,             0.00096141,             0.00096141,             0.00096141
                     70,                0.82851,                0.49922,                0.88848,                0.84484,                0.82208,                 0.8389,                0.57079,                 1.0271,                0.63615,                0.99098,             0.00095922,             0.00095922,             0.00095922
                     71,                0.84714,                0.51398,                0.89363,                0.84889,                0.79691,                0.84168,                0.59588,                 1.0197,                0.62975,                0.97228,             0.00095702,             0.00095702,             0.00095702
                     72,                0.83516,                0.50351,                0.88456,                0.87588,                0.79915,                0.84792,                0.58302,                 1.0171,                0.61587,                0.97607,             0.00095482,             0.00095482,             0.00095482
                     73,                0.83807,                0.50125,                0.89029,                0.87123,                0.79011,                0.85824,                0.59872,                0.99624,                0.62978,                0.96966,             0.00095262,             0.00095262,             0.00095262
                     74,                0.84189,                0.49847,                0.88948,                0.85735,                0.80749,                0.84955,                0.58434,                 1.0242,                0.62698,                0.98652,             0.00095042,             0.00095042,             0.00095042
                     75,                0.81571,                0.49102,                0.88276,                0.85603,                0.79119,                0.84254,                0.58318,                 1.0109,                0.62364,                0.97586,             0.00094822,             0.00094822,             0.00094822
                     76,                0.82587,                 0.4957,                0.88555,                0.88694,                0.79192,                0.84921,                0.59445,                  1.011,                0.63376,                 0.9953,             0.00094602,             0.00094602,             0.00094602
                     77,                0.81244,                0.48873,                0.88618,                0.85012,                 0.8005,                0.84708,                0.57547,                 1.0342,                 0.6401,                  1.002,             0.00094382,             0.00094382,             0.00094382
                     78,                0.79728,                0.47962,                0.88553,                 0.8457,                0.82255,                0.82683,                0.56331,                 1.0496,                0.63362,                 1.0117,             0.00094162,             0.00094162,             0.00094162
                     79,                0.82443,                0.49716,                0.88486,                0.85699,                0.82244,                0.84221,                0.58464,                 1.0333,                 0.6158,                0.99921,             0.00093942,             0.00093942,             0.00093942
                     80,                0.81357,                0.49572,                0.88116,                0.88344,                0.78572,                0.85398,                0.58675,                 1.0227,                0.64029,                0.98287,             0.00093722,             0.00093722,             0.00093722
                     81,                0.81163,                0.49433,                0.88423,                0.87058,                0.77234,                0.83985,                0.57921,                 1.0371,                0.63031,                0.99301,             0.00093502,             0.00093502,             0.00093502
                     82,                0.82041,                 0.4939,                0.88673,                  0.844,                0.81302,                0.84168,                 0.5944,                 1.0179,                0.62864,                0.98616,             0.00093282,             0.00093282,             0.00093282
                     83,                 0.8251,                0.49119,                0.88508,                0.86754,                0.81325,                0.84742,                0.59674,                 1.0084,                0.61707,                0.98567,             0.00093062,             0.00093062,             0.00093062
                     84,                0.81055,                0.49164,                0.88278,                 0.8697,                0.80931,                 0.8422,                0.58203,                 1.0399,                0.65603,                 1.0011,             0.00092842,             0.00092842,             0.00092842
                     85,                0.80065,                0.48566,                0.88289,                0.79308,                0.86042,                0.85293,                 0.5862,                  1.037,                 0.6532,                  1.002,             0.00092622,             0.00092622,             0.00092622
                     86,                0.81867,                0.49749,                0.89093,                0.85907,                0.84342,                 0.8527,                0.59572,                 1.0168,                0.64225,                0.98555,             0.00092402,             0.00092402,             0.00092402
                     87,                0.80564,                 0.4814,                0.87905,                0.82967,                0.83432,                0.83497,                0.59588,                 1.0081,                0.63586,                0.98254,             0.00092182,             0.00092182,             0.00092182
                     88,                0.79199,                0.47623,                0.87947,                0.86171,                0.78218,                0.83453,                0.59208,                 0.9937,                0.63396,                0.97118,             0.00091962,             0.00091962,             0.00091962
                     89,                0.79512,                0.47715,                0.87854,                0.81281,                0.82957,                0.85104,                0.59685,                 1.0038,                0.61867,                0.97923,             0.00091742,             0.00091742,             0.00091742
                     90,                0.78428,                0.47898,                0.87444,                0.86585,                0.81335,                0.85557,                0.60675,                0.99901,                0.61571,                0.98871,             0.00091522,             0.00091522,             0.00091522
                     91,                0.77911,                0.47777,                0.88113,                0.84368,                0.84031,                0.85805,                0.59764,                 1.0021,                0.61899,                0.98857,             0.00091302,             0.00091302,             0.00091302
                     92,                0.80579,                0.48943,                0.88131,                0.87082,                0.83066,                0.85004,                0.59664,                0.99913,                0.62686,                0.98539,             0.00091082,             0.00091082,             0.00091082
                     93,                0.78648,                0.47741,                 0.8751,                0.89917,                 0.8173,                0.86608,                0.59357,                 1.0004,                0.58949,                0.98621,             0.00090862,             0.00090862,             0.00090862
                     94,                0.77426,                0.47041,                0.87507,                0.82457,                0.85436,                0.85738,                0.60539,                0.99165,                0.61563,                0.98214,             0.00090642,             0.00090642,             0.00090642
                     95,                0.76813,                0.46772,                 0.8714,                0.85425,                0.82993,                0.84583,                 0.5986,                 1.0027,                0.61617,                0.98163,             0.00090422,             0.00090422,             0.00090422
                     96,                 0.7672,                0.46704,                0.87197,                0.90391,                0.82729,                0.88362,                0.62559,                0.96634,                0.59832,                0.95745,             0.00090202,             0.00090202,             0.00090202
                     97,                0.78151,                0.47248,                0.87942,                0.87184,                 0.8167,                0.84657,                0.60491,                0.99718,                0.61529,                0.99005,             0.00089982,             0.00089982,             0.00089982
                     98,                0.75664,                0.46108,                0.87236,                0.84855,                0.84962,                0.85659,                0.61441,                0.97702,                0.60977,                0.96629,             0.00089762,             0.00089762,             0.00089762
                     99,                0.76455,                 0.4649,                0.87709,                0.83938,                0.81665,                0.84815,                0.58432,                0.99116,                0.59649,                 0.9785,             0.00089542,             0.00089542,             0.00089542
                    100,                0.77001,                 0.4648,                0.87521,                0.84559,                0.83139,                0.84774,                0.59114,                0.99466,                 0.6017,                0.96674,             0.00089322,             0.00089322,             0.00089322
                    101,                0.76655,                0.46397,                0.87266,                0.84184,                0.84153,                0.85482,                0.60302,                0.97964,                0.59729,                0.97484,             0.00089102,             0.00089102,             0.00089102
